/-
  To find \( f(1) \) for the function \( f(x) = 5x + 4 \), we substitute \( x = 1 \) into the function and simplify.
  
  1. Start with the function:
     \[
     f(x) = 5x + 4
     \]
  2. Substitute \( x = 1 \):
     \[
     f(1) = 5 \cdot 1 + 4
     \]
  3. Simplify the expression:
     \[
     f(1) = 5 + 4
     \]
  4. Add the constants:
     \[
     f(1) = 9
     \]
  
  Thus, the value of \( f(1) \) is \( 9 \).
  -/
  simp_all only [h₀, mul_one, mul_zero, add_zero, zero_add, mul_comm]
  <;> norm_num
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
  <;> linarith
  <;> simp_all
